Req#,Requirement,Explanation,Testable Assertions,Test cases,Tags,Priority,Version & Section/Sub-Section,Comments,Status,Date Integrated,AHA Idea reference
,An LRS's Statement API upon processing a successful POST request returns code 200 OK and all Statement UUIDs within the POST **Implicit**,,,,"Implied by spec,Statement API",2,"""1.0.2_ref_text"": ""7.2.2"",



""1.0.2_ref"": ""7.2.2"",



""1.0.3_ref"": ""part3.2.1.2"",



""1.0.3_link"": [""Communication.md#2.1.2.s1""]",,Reviewed,,XAPI-I-477
,Add in requirements from test suite issues,"Some issues have been logged here: https://github.com/adlnet/xAPI_LRS_Test/issues ( https://github.com/adlnet/xAPI_LRS_Test/issues )



I don't think they all got included in the document Andy was maintaining and therefore may not have been transferred here?",,,Not in spec,2,,,New,,XAPI-I-476
,LRSs should look like bunnies,Cute and cuddly LRS bunnies are the bomb,,,Not in spec,-7,,"Megan Bowe Aug 11, 2016

Anthony Altieri has volunteered for this task.



anthony altieri Aug 12, 2016

Yes I have.",Backlog,,XAPI-I-475
,LRS must reject with 400 a signed statement with malformed signature - bad JSON serialization of statement,,,,Defined by spec,1,"""1.0.3_link"": [""Data.md#2.6.s4.b3""]",,New,,XAPI-I-474
,LRS must reject with 400 a signed statement with malformed signature - bad algorithm,,,,Defined by spec,1,"""1.0.3_link"": [""Data.md#2.6.s4.b4""]",,New,,XAPI-I-473
,LRS must reject with 400 a signed statement with malformed signature - bad contentType,,,,Defined by spec,1,"""1.0.3_link"": [""Data.md#2.6.s4.b1""]",,New,,XAPI-I-472
,Learning Record Provider conformance requirements,"I propose that a Learning Record Provider, to be conformant, should need to do three general categories of things:



1) not mess up speaking the Experience API (basically, no LRS responses during several representative sessions other than 2xx and 404)



2) if it does receive a response outside those ranges, handle it appropriately (there's considerable leeway here, of course, and there'll need to be an LRS proxy that generates these in the testing setup)



3) for Statements it sends, go above and beyond technically-LRS-legal around, for example, URIs -- they shouldn't be nonsense URLs",,,"Defined by spec,Implied by spec,Not in spec,LRP",3,,"Jason Haag Aug 15, 2016

We also need to do a better job on describing xAPI PROFILES, in general. I have more questions than answers. I feel a LRP / Profile testing capability should be researched a bit more before we determine what is exactly required for conformance.



xAPI Profiles can have the following characteristics:



* Documentation on how to use the profile

* IRIs used as part of vocabulary

* Vocabulary Metadata (new vocab guidance suggests all should be marked up and published using RDF / JSON-LD) and returned if IRI requested. Could this be improved to support conformance testing or profile conformance?

* Recipes, for standardized tracking of common activities

* Rules for authentication, security

* Specific launch requirements

* Specific packaging requirements

* Storage requirements using Document API

* Specific sequence of statements or rules (cmi5 uses initialized verb first)

* granularity or aggregation of statements



* What else is missing to make profiles better or standardized? Profile rules expressed in JSON-LD? Perhaps more ways to coerce and improve data other than RDF? JSON Schema? Not sure. I feel this is a potential area of investigation that we need a better handle on.

* JSON-LD can provide the ability for additional mappings from JSON to RDF, providing more semantic meaning of the data.

* JSON-LD allows values to be coerced to a specified type or to be tagged with a language. We think this could also really help out in our efforts to support conformance of the data associated with Learning Activity Providers‰Ûª ‰ÛÏProfiles‰Û but need more research and evidence, and to try applying it to cmi5 or SCORM profiles.

* As Russell has pointed out before, Implementation of JSON-Schema validation libraries is wildly varied in their extent of coverage, so it is almost impossible to be sure that something found valid by one validator will be found valid by another, with any moderately complex schema. JSON-Schema helps zero in interoperability of semantics though.

* The xAPI community has discussed this topic some already here: https://github.com/adlnet/xAPI-Spec/issues/577 ( https://github.com/adlnet/xAPI-Spec/issues/577 )



* Which characteristics do we need for consistent conformance testing of profiles & Learning Record Providers? For example, which of the above profile characteristics does cmi5 or scorm profiles have? We don‰Ûªt want to have to build a unique conformance test suite for each profile, or do we? What characteristics are common or required? Which are optional? A Learning Record Provider ‰ÛÏProfile‰Û testing capability would likely only be able to test for those that are required or common across all profiles.

* What are the characteristics of Caliper Metric Profiles for Caliper? Should we adopt some of their practices?",New,,XAPI-I-471
,Include plausible errors in unacceptable values,"A good conformance suite will do more than check minimal examples -- it will check ""plausible errors"" for correct behavior. Plausible errors are ones that would not be surprising for code that properly handles most values to fail to handle. For example, leap seconds in timestamps, values legal elsewhere in the spec aren't allowed where they shouldn't be, spaces at the ends of otherwise-legal values, and so on.



This proposed requirement is to include a wide array of tests covering such cases, to minimize idiosyncratic data loss between conformant implementations.",,,Implied by spec,1,,,New,,XAPI-I-470
,Define conformance through implementable checks,"A lot of good work has been done extracting raw requirements from the spec, but a lot of the requirements in the spec require quite a bit of context to understand, and are often filtered through meta-requirements (for example, that data types be checked by the LRS in certain ways).



That's why I'm proposing that we define conformance through implementable checks: steps that a client can take to verify a particular behavior, written with sufficiently little ambiguity that independent implementations should be testing basically the same thing.



This is particularly important for all the Statement-related requirements -- what those need to be turned into to be usable in a conformance check are forms of Statements that need to be accepted, and forms of Statements that need to be rejected.",,,"Defined by spec,Implied by spec",3,,,New,,XAPI-I-469
,"Statement authority shall only be an anonymous group with two members (4.1.9.a, 4.1.2.2)",,,,"Defined by spec,Authority,Group",2,"""1.0.2_ref"": ""4.1.9.a, 4.1.2.2"",

""1.0.3_ref"": ""part2.2.4.9.a, part2.2.4.2.2"",

""1.0.3_link"": [

""Data.md#2.4.9.s3.b1""

]","Aaron Silvers Aug 11, 2016

Ways to test - identified groups with two members; anonymous group with one member; anonymous group with three members... other variants.



An agent with the wrong object type and some combination of members...",Integrated,,XAPI-I-468
